company,product,typename,inches,opsys,price_euros,resolution_width,resolution_height,aspect_ratio,resolution_type,touchscreen,cpu_manufacturer,cpu_model,cpu_clock_speed_GHz,ram_gb,storage_capacity1,storage_capacity2,storage_type1,storage_type2,weight_kg,gpu_brand,gpu_model,total_pixels
Dell,XPS 13,Ultrabook,13.3,Windows 10,1379,3200,1800,1.777777778,Quad HD,Yes,Intel,Core i7 7560U,2.4,8,256,0,SSD,None,1.23,Intel Iris Plus Graphics,640,5760000
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,Windows 10,1399,1920,1080,1.777777778,IPS Panel Full HD,Yes,Intel,Core i5 7200U,2.5,8,256,0,SSD,None,1.37,Intel HD Graphics,620,2073600
HP,Probook 440,Notebook,14,Windows 10,722,1366,768,1.778645833,IPS Panel,No,Intel,Core i5 8250U,1.6,4,500,0,HDD,None,1.63,Intel UHD Graphics,620,1049088
Dell,XPS 13,Ultrabook,13.3,Windows 10,1629,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i5 8250U,1.6,8,256,0,SSD,None,1.21,Intel UHD Graphics,620,2073600
HP,Spectre x360,2 in 1 Convertible,13.3,Windows 10,1398.99,1920,1080,1.777777778,IPS Panel Full HD,Yes,Intel,Core i5 8250U,1.6,8,256,0,SSD,None,1.26,Intel UHD Graphics,620,2073600
HP,Probook 440,Notebook,14,Windows 10,1084,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,8,512,0,SSD,None,1.63,Intel UHD Graphics,620,2073600
Dell,Inspiron 7570,Notebook,15.6,Windows 10,1130.33,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 8550U,1.8,8,256,1000,SSD,HDD,2.16,Nvidia GeForce,940,2073600
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Windows 10,564,1920,1080,1.777777778,Full HD,No,Intel,Core i3 6006U,2,4,1000,0,HDD,None,2,Nvidia GeForce,920,2073600
Asus,VivoBook S15,Notebook,15.6,Windows 10,1118,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,8,256,0,SSD,None,1.7,Nvidia GeForce,940,2073600
Acer,Spin 3,Notebook,15.6,Windows 10,479,1920,1080,1.777777778,IPS Panel Full HD,Yes,Intel,Core i3 7100U,2.4,6,1000,0,HDD,None,2.1,Intel HD Graphics,620,2073600
MSI,GS63VR 7RG,Gaming,15.6,Windows 10,2241.5,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,16,256,2000,SSD,HDD,1.8,Nvidia GeForce GTX,1070,2073600
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,No OS,629,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7200U,2.5,8,256,0,SSD,None,2.2,Nvidia GeForce,940,2073600
HP,Probook 470,Notebook,17.3,Windows 10,1271,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,16,512,0,SSD,None,2.5,Nvidia GeForce,930,2073600
Acer,Aspire 3,Notebook,15.6,Windows 10,451,1366,768,1.778645833,Other,No,AMD,A9-Series 9420,3,4,256,0,SSD,None,2.1,AMD Radeon R,5,1049088
HP,250 G6,Notebook,15.6,No OS,259,1366,768,1.778645833,Other,No,Intel,Celeron Dual Core N3060,1.6,4,500,0,HDD,None,1.86,Intel HD Graphics,400,1049088
HP,Probook 440,Notebook,14,Windows 10,812,1920,1080,1.777777778,Full HD,No,Intel,Core i5 8250U,1.6,8,1000,0,HDD,None,1.63,Intel UHD Graphics,620,2073600
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14,Windows 10 S,277.99,1366,768,1.778645833,Other,No,AMD,E-Series 6110,1.5,4,64,0,SSD,None,1.65,AMD Radeon R,2,1049088
Dell,Inspiron 5770,Notebook,17.3,Windows 10,1396,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,16,256,2000,SSD,HDD,2.8,AMD Radeon,530,2073600
HP,ProBook 470,Notebook,17.3,Windows 10,928,1920,1080,1.777777778,Full HD,No,Intel,Core i5 8250U,1.6,8,256,0,SSD,None,2.5,Intel UHD Graphics,620,2073600
Dell,Inspiron 5567,Notebook,15.6,Windows 10,638.99,1366,768,1.778645833,Other,No,Intel,Core i5 7200U,2.5,8,1000,0,HDD,None,2.36,AMD Radeon R,7,1049088
Dell,Inspiron 3567,Notebook,15.6,Windows 10,449,1920,1080,1.777777778,Full HD,No,Intel,Core i3 6006U,2,4,1000,0,HDD,None,2.2,AMD Radeon R,5,2073600
